"x","y","dx","dy","dist","dt","R2n","abs.angle","rel.angle","id","date","id_day_all","month","datetime","behavior","species","id_tree","group"
365243.27,7541030.18,-0.610000000044238,1.1800000006333,1.32834483533025,300,0,2.04791113485372,NA,"SantaMaria","2015-03-15","Mar_7","Mar",2015-03-15 07:05:00,"Sleeping site",NA,"SS005","SantaMaria"
365242.66,7541031.36,7.24000000004889,7.04000000003725,10.0984751324758,300,1.76450000154856,0.771393476813202,-1.27651765804052,"SantaMaria","2015-03-15","Mar_7","Mar",2015-03-15 07:10:00,"Inactive",NA,"SS005","SantaMaria"
365249.9,7541038.4,-10.1500000000233,-0.300000000745058,10.154432529734,300,111.525300011086,-3.11204460561463,2.39974722475176,"SantaMaria","2015-03-15","Mar_7","Mar",2015-03-15 07:15:00,"Inactive",NA,"SS005","SantaMaria"
365239.75,7541038.1,10.320000000007,31.160000000149,32.8245030428403,300,75.116799998951,1.2509725522887,-1.92016814927626,"SantaMaria","2015-03-15","Mar_7","Mar",2015-03-15 07:20:00,"Travel",NA,NA,"SantaMaria"
365250.07,7541069.26,-13.8699999999953,-3.92999999970198,14.4160258045527,300,1573.48640000567,-2.86548451086737,2.16672824402352,"SantaMaria","2015-03-15","Mar_7","Mar",2015-03-15 07:25:00,"Inactive",NA,NA,"SantaMaria"
365236.2,7541065.33,-12.859999999986,0.389999999664724,12.8659123267407,300,1285.50740002629,3.11127535154481,-0.306425444767406,"SantaMaria","2015-03-15","Mar_7","Mar",2015-03-15 07:30:00,"Foraging",NA,NA,"SantaMaria"
365223.34,7541065.72,-18.6300000000047,2.74000000022352,18.8304142280885,300,1660.29650000237,2.99556494278238,-0.115710408762438,"SantaMaria","2015-03-15","Mar_7","Mar",2015-03-15 07:35:00,"Inactive",NA,NA,"SantaMaria"
365204.71,7541068.46,0.0999999999767169,3.50999999977648,3.51142421225722,300,2952.23200001979,1.54231400283633,-1.45325093994604,"SantaMaria","2015-03-15","Mar_7","Mar",2015-03-15 07:40:00,"Resting",NA,NA,"SantaMaria"
365204.81,7541071.97,2.17999999999302,-2.54999999981374,3.35483233545577,300,3225.57570000473,-0.863463296718095,-2.40577729955443,"SantaMaria","2015-03-15","Mar_7","Mar",2015-03-15 07:45:00,"Inactive",NA,NA,"SantaMaria"
365206.99,7541069.42,-0.190000000002328,-1.49000000022352,1.50206524514316,300,2856.01600001957,-1.69762860775133,-0.834165311033238,"SantaMaria","2015-03-15","Mar_7","Mar",2015-03-15 07:50:00,"Inactive",NA,NA,"SantaMaria"
