"id_day_all","x","y","id_month","datetime","behavior","species","id_tree","group"
"may001",781969.802383584,7407899.62025156,"May","2019-05-16 07:25:00","Sleeping site",NA,"DG03","Guareí"
"may001",781962.506228928,7407894.68761312,"May","2019-05-16 07:30:00","Travel",NA,NA,"Guareí"
"may001",781925.38440224,7407924.74575223,"May","2019-05-16 07:35:00","Frugivory","Celtis iguanaea","AG153","Guareí"
"may001",781898.129081042,7407922.48989409,"May","2019-05-16 07:40:00","Frugivory","Celtis iguanaea","AG154","Guareí"
"may001",781898.129081042,7407922.48989409,"May","2019-05-16 07:45:00","Frugivory","Celtis iguanaea","AG154","Guareí"
"may001",781897.188481099,7407900.23037001,"May","2019-05-16 07:50:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may001",781897.188481099,7407900.23037001,"May","2019-05-16 07:55:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may001",781897.188481099,7407900.23037001,"May","2019-05-16 08:00:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may001",781897.188481099,7407900.23037001,"May","2019-05-16 08:05:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may001",781897.188481099,7407900.23037001,"May","2019-05-16 08:10:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may001",781897.188481099,7407900.23037001,"May","2019-05-16 08:15:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may001",781897.188481099,7407900.23037001,"May","2019-05-16 08:20:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may001",781885.459009429,7407917.6415296,"May","2019-05-16 08:25:00","Frugivory","Celtis iguanaea","AG155","Guareí"
"may001",781885.459009429,7407917.6415296,"May","2019-05-16 08:30:00","Frugivory","Celtis iguanaea","AG155","Guareí"
"may001",781885.459009429,7407917.6415296,"May","2019-05-16 08:35:00","Frugivory","Celtis iguanaea","AG155","Guareí"
"may001",781885.459009429,7407917.6415296,"May","2019-05-16 08:40:00","Frugivory","Celtis iguanaea","AG155","Guareí"
"may001",781876.881319033,7407912.04592371,"May","2019-05-16 08:45:00","Travel",NA,NA,"Guareí"
"may001",781882.970580149,7407900.06595431,"May","2019-05-16 08:50:00","Frugivory","Celtis iguanaea","AG156","Guareí"
